iter	Passed	Remaining
318	1475	3150
319	1480	3146
320	1482	3136
321	1484	3126
322	1487	3117
323	1491	3111
324	1498	3112
325	1500	3103
326	1502	3092
327	1504	3081
328	1505	3071
329	1507	3060
330	1513	3058
331	1515	3048
332	1516	3038
333	1518	3027
334	1519	3016
335	1521	3006
336	1522	2995
337	1529	2996
338	1531	2986
339	1533	2976
340	1535	2966
341	1536	2956
342	1538	2946
343	1545	2946
344	1546	2936
345	1548	2927
346	1550	2917
347	1552	2908
348	1558	2907
349	1560	2898
350	1564	2892
351	1566	2883
352	1569	2876
353	1576	2877
354	1578	2868
355	1580	2858
356	1582	2849
357	1583	2840
358	1585	2831
359	1588	2824
360	1590	2815
361	1592	2806
362	1594	2797
363	1597	2790
364	1599	2782
365	1601	2774
366	1603	2765
367	1604	2755
368	1606	2746
369	1613	2746
370	1615	2738
371	1617	2730
372	1619	2722
373	1622	2715
374	1623	2706
375	1626	2699
376	1628	2691
377	1630	2683
378	1632	2675
379	1634	2667
380	1640	2665
381	1642	2657
382	1644	2649
383	1646	2641
384	1648	2633
385	1650	2624
386	1655	2622
387	1658	2615
388	1660	2608
389	1662	2600
390	1664	2593
391	1666	2585
392	1669	2578
393	1672	2572
394	1674	2565
395	1678	2559
396	1682	2556
397	1685	2549
398	1687	2541
399	1689	2534
400	1691	2526
401	1692	2518
402	1699	2517
403	1702	2511
404	1704	2504
405	1706	2496
406	1708	2489
407	1715	2489
408	1718	2483
409	1720	2475
410	1721	2467
411	1723	2459
412	1725	2452
413	1729	2447
414	1731	2440
415	1733	2432
416	1734	2425
417	1736	2417
418	1743	2417
419	1746	2411
420	1747	2403
421	1749	2396
422	1751	2388
423	1752	2380
424	1760	2381
425	1762	2374
426	1763	2366
427	1764	2358
428	1766	2350
429	1767	2342
430	1776	2345
431	1778	2338
432	1780	2331
433	1781	2323
434	1784	2317
435	1787	2312
436	1788	2304
437	1790	2297
438	1792	2290
439	1793	2282
440	1801	2283
441	1802	2275
442	1804	2268
443	1805	2260
444	1807	2253
445	1808	2246
446	1814	2244
447	1816	2238
448	1818	2231
449	1820	2224
450	1821	2217
451	1823	2210
452	1824	2203
453	1832	2203
454	1833	2196
455	1835	2189
456	1836	2181
457	1838	2175
458	1839	2168
459	1844	2164
460	1845	2158
461	1847	2151
462	1848	2144
463	1850	2137
464	1851	2130
465	1853	2123
466	1854	2116
467	1860	2115
468	1862	2108
469	1863	2101
470	1865	2094
471	1866	2088
472	1868	2081
473	1870	2075
474	1875	2073
475	1877	2066
476	1878	2060
477	1880	2053
478	1881	2046
479	1883	2040
480	1885	2034
481	1889	2031
482	1892	2025
483	1893	2018
484	1895	2012
485	1896	2005
486	1898	1999
487	1899	1993
488	1901	1986
489	1907	1985
490	1909	1979
491	1910	1973
492	1912	1966
493	1913	1960
494	1914	1953
495	1916	1947
496	1922	1945
497	1923	1939
498	1925	1933
499	1926	1926
500	1928	1920
501	1929	1914
502	1931	1908
503	1935	1904
504	1937	1899
505	1939	1893
506	1940	1886
507	1942	1880
508	1943	1874
509	1945	1868
510	1946	1862
511	1953	1861
512	1955	1855
513	1956	1849
514	1958	1844
515	1959	1838
516	1960	1831
517	1962	1825
518	1968	1824
519	1970	1818
520	1971	1812
521	1973	1807
522	1975	1801
523	1977	1796
524	1983	1794
525	1985	1789
526	1986	1783
527	1988	1777
528	1989	1771
529	1991	1766
530	1997	1764
531	1999	1759
532	2001	1753
533	2003	1747
534	2004	1742
535	2005	1736
536	2007	1731
537	2014	1729
538	2016	1724
539	2017	1718
540	2019	1713
541	2023	1710
542	2028	1706
543	2030	1701
544	2032	1697
545	2034	1691
546	2036	1686
547	2037	1680
548	2039	1675
549	2045	1673
550	2047	1668
551	2048	1662
552	2050	1657
553	2051	1651
554	2053	1646
555	2054	1640
556	2062	1640
557	2063	1634
558	2065	1629
559	2066	1623
560	2068	1618
561	2069	1612
562	2074	1610
563	2076	1605
564	2078	1600
565	2080	1594
566	2081	1589
567	2084	1585
568	2089	1582
569	2092	1578
570	2093	1573
571	2095	1567
572	2097	1562
573	2098	1557
574	2100	1552
575	2107	1551
576	2109	1546
577	2110	1541
578	2112	1535
579	2113	1530
580	2115	1525
581	2120	1522
582	2122	1518
583	2124	1513
584	2125	1508
585	2127	1503
586	2128	1497
587	2130	1492
588	2131	1487
589	2139	1486
590	2140	1481
591	2142	1476
592	2143	1471
593	2145	1466
594	2146	1461
595	2154	1460
596	2155	1455
597	2157	1450
598	2158	1445
599	2160	1440
600	2161	1435
601	2167	1433
602	2169	1428
603	2171	1423
604	2172	1418
605	2173	1413
606	2175	1408
607	2176	1403
608	2177	1398
609	2183	1396
610	2185	1391
611	2187	1386
612	2188	1381
613	2190	1377
614	2192	1372
615	2200	1371
616	2201	1366
617	2203	1361
618	2204	1356
619	2205	1351
620	2207	1347
621	2209	1342
622	2213	1339
623	2215	1334
624	2216	1329
625	2218	1325
626	2220	1321
627	2222	1316
628	2223	1311
629	2229	1309
630	2232	1305
631	2234	1301
632	2236	1296
633	2244	1295
634	2246	1291
635	2249	1287
636	2260	1288
637	2263	1284
638	2265	1280
639	2272	1278
640	2276	1274
641	2279	1270
642	2281	1266
643	2292	1267
644	2294	1262
645	2296	1258
646	2308	1259
647	2311	1255
648	2314	1251
649	2322	1250
650	2324	1246
651	2326	1241
652	2329	1237
653	2332	1234
654	2335	1229
655	2336	1225
656	2338	1220
657	2340	1216
658	2342	1211
659	2343	1207
660	2344	1202
661	2346	1198
662	2347	1193
663	2353	1191
664	2357	1187
665	2359	1183
666	2360	1178
667	2362	1174
668	2363	1169
669	2371	1167
670	2372	1163
671	2374	1158
672	2375	1154
673	2377	1149
674	2379	1145
675	2385	1143
676	2387	1138
677	2389	1134
678	2390	1130
679	2392	1125
680	2393	1121
681	2398	1118
682	2402	1114
683	2404	1110
684	2405	1106
685	2407	1102
686	2409	1097
687	2417	1096
688	2419	1092
689	2420	1087
690	2422	1083
691	2423	1078
692	2425	1074
693	2431	1072
694	2433	1068
695	2435	1063
696	2436	1059
697	2438	1055
698	2439	1050
699	2441	1046
700	2448	1044
701	2450	1040
702	2452	1035
703	2453	1031
704	2454	1027
705	2456	1022
706	2462	1020
707	2464	1016
708	2465	1012
709	2467	1007
710	2469	1003
711	2471	999
712	2477	997
713	2480	993
714	2481	989
715	2483	985
716	2485	980
717	2486	976
718	2491	973
719	2494	970
720	2495	965
721	2497	961
722	2501	958
723	2503	954
724	2509	951
725	2511	947
726	2513	943
727	2516	940
728	2519	936
729	2523	933
730	2526	929
731	2528	925
732	2535	923
733	2537	919
734	2538	915
735	2540	911
736	2542	907
737	2543	903
738	2550	900
739	2553	897
740	2555	893
741	2557	889
742	2559	885
743	2564	882
744	2566	878
745	2568	874
746	2570	870
747	2572	866
748	2574	862
749	2583	861
750	2585	857
751	2587	853
752	2589	849
753	2590	845
754	2598	843
755	2600	839
756	2601	835
757	2603	831
758	2611	829
759	2613	825
760	2615	821
761	2617	817
762	2618	813
763	2622	809
764	2630	807
765	2631	803
766	2633	799
767	2634	795
768	2636	791
769	2637	787
770	2646	785
771	2647	781
772	2649	777
773	2650	773
774	2652	770
775	2653	766
776	2660	763
777	2662	759
778	2664	755
779	2666	752
780	2668	748
781	2675	745
782	2677	742
783	2679	738
784	2680	734
785	2683	730
786	2690	728
787	2693	724
788	2695	720
789	2696	716
790	2698	713
791	2705	710
792	2707	706
793	2709	702
794	2711	699
795	2712	695
796	2714	691
797	2726	690
798	2727	686
799	2729	682
800	2731	678
801	2740	676
802	2744	673
803	2746	669
804	2750	666
805	2753	662
806	2759	659
807	2762	656
808	2769	653
809	2771	650
810	2773	646
811	2776	642
812	2777	638
813	2784	636
814	2787	632
815	2789	628
816	2791	625
817	2792	621
818	2803	619
819	2808	616
820	2816	614
821	2819	610
822	2824	607
823	2832	605
824	2835	601
825	2837	597
826	2839	594
827	2845	591
828	2848	587
829	2849	583
830	2851	579
831	2853	576
832	2855	572
833	2865	570
834	2867	566
835	2869	562
836	2870	559
837	2872	555
838	2879	552
839	2882	548
840	2885	545
841	2887	541
842	2895	539
843	2897	535
844	2899	531
845	2901	528
846	2904	524
847	2906	520
848	2908	517
849	2909	513
850	2911	509
851	2913	506
852	2914	502
853	2917	498
854	2919	495
855	2921	491
856	2924	487
857	2930	484
858	2931	481
859	2933	477
860	2935	473
861	2936	470
862	2938	466
863	2939	462
864	2948	460
865	2950	456
866	2951	452
867	2954	449
868	2961	446
869	2963	442
870	2965	439
871	2967	435
872	2968	431
873	2971	428
874	2977	425
875	2980	421
876	2982	418
877	2984	414
878	2986	411
879	2998	408
880	2999	405
881	3001	401
882	3018	399
883	3024	396
884	3027	393
885	3029	389
886	3030	386
887	3032	382
888	3034	378
889	3042	376
890	3044	372
891	3046	368
892	3048	365
893	3050	361
894	3058	358
895	3060	355
896	3063	351
897	3064	348
898	3070	344
899	3073	341
900	3075	337
901	3076	334
902	3079	330
903	3089	328
904	3091	324
905	3093	321
906	3095	317
907	3103	314
908	3106	310
909	3108	307
910	3110	303
911	3111	300
912	3120	297
913	3122	293
914	3123	290
915	3125	286
916	3139	284
917	3141	280
918	3142	277
919	3149	273
920	3152	270
921	3153	266
922	3155	263
923	3156	259
924	3158	256
925	3164	252
926	3166	249
927	3168	245
928	3169	242
929	3171	238
930	3173	235
931	3175	231
932	3182	228
933	3184	224
934	3185	221
935	3187	217
936	3188	214
937	3190	210
938	3197	207
939	3198	204
940	3200	200
941	3201	197
942	3203	193
943	3205	190
944	3212	186
945	3214	183
946	3216	180
947	3217	176
948	3219	173
949	3221	169
950	3229	166
951	3231	162
952	3233	159
953	3235	155
954	3236	152
955	3243	149
956	3245	145
957	3247	142
958	3248	138
959	3250	135
960	3251	131
961	3256	128
962	3259	125
963	3262	121
964	3264	118
965	3265	114
966	3267	111
967	3274	108
968	3275	104
969	3278	101
970	3279	97
971	3281	94
972	3282	91
973	3289	87
974	3292	84
975	3293	80
976	3294	77
977	3296	74
978	3298	70
979	3303	67
980	3305	64
981	3307	60
982	3309	57
983	3310	53
984	3312	50
985	3313	47
986	3322	43
987	3325	40
988	3326	37
989	3329	33
990	3341	30
991	3343	26
992	3344	23
993	3345	20
994	3355	16
995	3356	13
996	3358	10
997	3359	6
998	3361	3
999	3371	0
